
County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7)",06000,N/A,124 ,123.4, 124.7,N/A , N/A , N/A,28216,rising,0.3 ,0.1, 0.6
"US (SEER+NPCR)(1)",00000,N/A,129.8 ,129.5, 130,N/A , N/A , N/A,258398,rising,0.6 ,0.4, 0.8
"Marin County(7)",06041,Urban,152.2 ,144, 160.7,1 , 1 , 8,304,stable,1.7 ,-0.6, 6.6
"San Luis Obispo County(7)",06079,Urban,146.8 ,138.4, 155.7,2 , 1 , 15,275,stable,0.8 ,0.0, 1.5
"Santa Barbara County(7)",06083,Urban,145.9 ,138.9, 153.1,3 , 1 , 13,361,stable,0.5 ,-0.1, 1.2
"Santa Cruz County(7)",06087,Urban,143.9 ,135.4, 152.7,4 , 1 , 18,239,rising,1.2 ,0.4, 3.4
"Yolo County(7)",06113,Urban,142.7 ,132.5, 153.3,5 , 1 , 22,155,rising,6.8 ,1.7, 11.7
"Ventura County(7)",06111,Urban,139 ,134.4, 143.8,6 , 2 , 18,724,rising,3.7 ,0.1, 6.1
"Placer County(7)",06061,Urban,138.2 ,131.8, 144.8,7 , 2 , 22,385,stable,-0.1 ,-0.4, 0.3
"Sonoma County(7)",06097,Urban,138.1 ,132.3, 144.1,8 , 2 , 21,481,rising,6.0 ,0.4, 9.1
"San Mateo County(7)",06081,Urban,136.7 ,131.9, 141.5,9 , 3 , 22,658,stable,0.0 ,-0.3, 0.3
"El Dorado County(7)",06017,Urban,135.6 ,126.3, 145.5,10 , 1 , 30,184,rising,5.1 ,1.9, 7.2
"Contra Costa County(7)",06013,Urban,135.5 ,131.6, 139.4,11 , 5 , 21,994,rising,3.2 ,0.1, 5.8
"Amador County(7)",06005,Rural,134.9 ,113.9, 159,12 , 1 , 46,42,stable,-0.7 ,-2.5, 1.1
"Napa County(7)",06055,Urban,134.6 ,123.7, 146.2,13 , 1 , 33,125,stable,0.7 ,-4.9, 6.4
"Orange County(7)",06059,Urban,132.3 ,129.9, 134.7,14 , 10 , 23,2523,rising,0.5 ,0.2, 1.0
"Butte County(7)",06007,Urban,131.9 ,122.7, 141.6,15 , 3 , 34,177,stable,-0.2 ,-1.0, 0.6
"Tuolumne County(7)",06109,Rural,131 ,114, 150.1,16 , 1 , 45,57,stable,4.2 ,-0.5, 13.7
"San Diego County(7)",06073,Urban,130.6 ,128.2, 133,17 , 12 , 25,2431,stable,0.1 ,-0.2, 1.0
"Stanislaus County(7)",06099,Urban,129.9 ,124.1, 136,18 , 7 , 31,386,rising,1.1 ,0.4, 3.7
"Nevada County(7)",06057,Rural,129.8 ,117.6, 143.1,19 , 2 , 40,110,stable,-0.5 ,-1.5, 0.5
"Calaveras County(7)",06009,Rural,128.1 ,110, 148.8,20 , 1 , 49,49,stable,5.6 ,-0.9, 18.9
"Shasta County(7)",06089,Urban,128 ,118.8, 137.8,21 , 5 , 37,167,stable,0.4 ,-0.4, 1.2
"Inyo County(7)",06027,Rural,127.9 ,100.1, 161.7,22 , 1 , 53,18,stable,0.5 ,-2.4, 3.4
"Solano County(7)",06095,Urban,126 ,120, 132.3,23 , 11 , 35,359,stable,-0.1 ,-0.6, 0.3
"Mariposa County(7)",06043,Rural,125.9 ,97.1, 161.6,24 , 1 , 54,19,stable,-1.1 ,-3.4, 1.2
"Sacramento County(7)",06067,Urban,125.9 ,122.6, 129.3,25 , 16 , 32,1152,stable,0.1 ,-2.2, 2.2
"Alameda County(7)",06001,Urban,125.3 ,122.2, 128.6,26 , 17 , 33,1225,stable,2.5 ,-0.2, 5.2
"Santa Clara County(7)",06085,Urban,123.9 ,120.9, 127,27 , 19 , 34,1332,stable,0.7 ,-0.2, 3.2
"San Francisco County(7)",06075,Urban,123.4 ,119, 128,28 , 17 , 36,614,stable,0.0 ,-0.3, 0.3
"Lake County(7)",06033,Rural,120.8 ,106.1, 137.1,29 , 4 , 51,59,stable,0.9 ,-5.8, 7.4
"Sutter County(7)",06101,Urban,120 ,107.2, 133.9,30 , 6 , 49,69,stable,0.0 ,-1.5, 1.6
"Los Angeles County(7)",06037,Urban,119.8 ,118.5, 121.1,31 , 26 , 36,6932,rising,0.3 ,0.1, 0.7
"Tehama County(7)",06103,Rural,119 ,104.5, 135.1,32 , 5 , 52,55,stable,-0.6 ,-1.7, 0.5
"Mono County(7)",06051,Rural,117.7 ,83.9, 161.3,33 , 1 , 55,9,stable,-0.4 ,-3.1, 2.6
"Humboldt County(7)",06023,Rural,116 ,105.4, 127.4,34 , 14 , 50,100,stable,0.3 ,-1.6, 5.8
"San Bernardino County(7)",06071,Urban,115.4 ,112.6, 118.3,35 , 29 , 42,1287,stable,0.3 ,-0.1, 1.4
"Glenn County(7)",06021,Rural,114.5 ,92.2, 140.7,36 , 2 , 54,20,stable,-0.5 ,-2.7, 1.7
